activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,CC(=O)N1C[C@H](O)C[C@@H]1C(=O)O,CHEMBL397352,nM,48730.0,uM,48.73,Neuraminidase
,CC(=O)N1C[C@H](O)C[C@@H]1C(=O)O,CHEMBL397352,nM,281838.29,,-3.55,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,1060.0,uM,1.06,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,3235.94,,-5.49,Neuraminidase
,COC(=O)[C@@H]1C[C@@H](N)CN1C(=O)[C@@H](N)CC(C)C,CHEMBL392199,nM,48010.0,uM,48.01,Neuraminidase
,COC(=O)[C@@H]1C[C@@H](N)CN1C(=O)[C@@H](N)CC(C)C,CHEMBL392199,nM,190546.07,,-3.72,Neuraminidase
,N[C@H]1C[C@@H](C(=O)NO)N(C(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)C1,CHEMBL414724,nM,3570.0,uM,3.57,Neuraminidase
,N[C@H]1C[C@@H](C(=O)NO)N(C(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)C1,CHEMBL414724,nM,8511.38,,-5.07,Neuraminidase
,N[C@H]1C[C@@H](C(=O)O)N(C(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)C1,CHEMBL393969,nM,16230.0,uM,16.23,Neuraminidase
,N[C@H]1C[C@@H](C(=O)O)N(C(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)C1,CHEMBL393969,nM,39810.72,,-4.4,Neuraminidase
,O=C(NO)[C@@H]1C[C@@H](O)CN1C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CHEMBL233077,nM,8540.0,uM,8.54,Neuraminidase
