molecule_chembl_id,canonical_smiles,bioactivity_threshold,standard_value,pref_name,PIC50,mol,ECFP4
CHEMBL501838,CC(=O)Nc1cc(OC(C)C)c(C(=O)O)cc1NC(=N)N,active,49.0,Neuraminidase,7.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb5f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed95f0>
CHEMBL4160858,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(N3CCSCC3)cc2)[C@H]1NC(C)=O,active,48.38,Neuraminidase,7.3153341359741395,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed9660>
CHEMBL1179072,CCCCCCCCO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)[C@H](O)CO,active,45.49,Neuraminidase,7.342084063170045,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb6d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed96d0>
CHEMBL3220443,CCCN(CCC)C(=O)[C@@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,active,43.0,Neuraminidase,7.366531544420414,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed9740>
CHEMBL3758438,COc1cccc(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](CO)O[C@H]3OC[C@H](c4ccccc4)O[C@@H]32)c1,active,42.91,Neuraminidase,7.367441485467328,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed97b0>
CHEMBL503267,CC(=O)Nc1cc(OCCC(C)C)c(C(=O)O)cc1NC(=N)N,active,41.0,Neuraminidase,7.387216143280264,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed9820>
CHEMBL494380,CCCCOc1cc(NC(C)=O)c(NC(=N)N)cc1C(=O)O,active,40.0,Neuraminidase,7.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed9890>
CHEMBL1956715,CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H](N)[C@H]1NC(C)=O.[K+],active,39.3,Neuraminidase,7.405607449624573,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed9900>
CHEMBL4863905,CCCCNNC(=O)N[C@H]1CC(C(=O)O)=C[C@@H](OC(CC)CC)[C@@H]1NC(C)=O,active,38.3,Neuraminidase,7.416801226031377,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed9970>
CHEMBL503657,COC(=O)c1cc(N)c(NC(C)=O)cc1OC1CCCC1,active,38.0,Neuraminidase,7.42021640338319,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efb9e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed99e0>
CHEMBL1644931,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2O)c(OC)cc1O,active,37.68,Neuraminidase,7.42388910587916,<rdkit.Chem.rdchem.Mol object at 0x7f5b94efba50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f5b94ed9a50>
