molecule_chembl_id,canonical_smiles,bioactivity_threshold,standard_value,pref_name,PIC50,mol,ECFP4,IC50_M,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds
CHEMBL3220188,CCN(C(=O)N1C[C@H](N)[C@H](C(=O)O)[C@@H]1CNC(=O)C(F)(F)F)C(C)C,active,280.0,Neuraminidase,6.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a384a0>,01000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000010100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000100100000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000001000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000,2.8e-07,368.35600000000005,0.22750000000000203,3,4,115.97000000000003,5
CHEMBL3330708,CC(C)C(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1N=[N+]=[N-].[Na+],active,500.0,Neuraminidase,6.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a38510>,01000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000100000100000000000000000000000000000000000000000000000000000000001000000000100000000000000100000000010000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000100000000000000000000000001001000010000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000010000000000000000000000000000000100001000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000001000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000,5e-07,366.30600000000004,-5.4431999999999965,4,8,187.91,7
CHEMBL4861754,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)NNCc2cccc(OC)c2)[C@H]1NC(C)=O,active,326.0,Neuraminidase,6.486782399932061,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a38580>,01000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000100000000010000000000000100000000000000000000000010000000100000000000000000001000000000000000010000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000001000000000000000000000100000000000100000000000000000000000000000000000000000010000000100000000100000000000000000000000000000000000000000000000000000000000000000000001000000000010100000000000000000001000000000000000001000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000001000100000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000,3.26e-07,462.5470000000002,1.8608000000000007,5,6,138.02,11
CHEMBL4871590,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)NNCc2ccc(OC)cc2)[C@H]1NC(C)=O,active,567.0,Neuraminidase,6.246416941107094,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a385f0>,01000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000100000000010000000000000100000000000000000000000010000000100000001000000000001000000000000000010000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100010000000000000000000000000000000000000000100000000000000000000001000000000000000000000000001000000000000000000000000000000000001000000000000000000000000010000000000000000000000010000000001000000000000000000000100000000000000000000000000000000000000000000000000000010000000100000000100000000000000000000000000000000000000000000000000000000000000000000001000000000010100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000001000100000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000,5.67e-07,462.5470000000002,1.8608000000000007,5,6,138.02,11
CHEMBL4797391,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(N)=O)[C@H]1NC(C)=O,active,254.0,Neuraminidase,6.5951662833800615,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a38660>,01000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000100000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000100000000000000000000000000000000000000000000000000000000000000000000001000000000010100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.54e-07,327.38100000000003,0.5165000000000017,4,4,130.75,7
CHEMBL2029862,COc1c2c(cc3c(=O)c4ccccc4oc13)OCO2,active,100.0,Neuraminidase,7.0,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a386d0>,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000100000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000010000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000001000000000000000010000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000,1e-07,270.23999999999995,2.6835000000000004,0,5,57.900000000000006,1
CHEMBL2029863,COc1c(O)cc2c(=O)c3ccccc3oc2c1OC,active,100.0,Neuraminidase,7.0,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a38740>,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000010000000010010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1e-07,272.25600000000003,2.6690000000000005,1,5,68.9,2
CHEMBL2029864,COc1c(O)cc2oc3cc(O)ccc3c(=O)c2c1OC,active,100.0,Neuraminidase,7.0,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a387b0>,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000010000000000000000000000001000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000,1e-07,288.25500000000005,2.3746,2,6,89.13000000000001,2
CHEMBL2029865,COc1cc(O)c2oc3ccccc3c(=O)c2c1OC,active,100.0,Neuraminidase,7.0,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a38820>,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000001010000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000010010100100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000,1e-07,272.25600000000003,2.6690000000000005,1,5,68.9,2
CHEMBL2029867,COc1cccc2oc3ccc(O)cc3c(=O)c12,active,100.0,Neuraminidase,7.0,<rdkit.Chem.rdchem.Mol object at 0x7f5b94a38890>,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000001000010000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000,1e-07,242.23,2.6604,1,4,59.67,1
