molecule_chembl_id,canonical_smiles,bioactivity_threshold,standard_value,pref_name
CHEMBL397352,CC(=O)N1C[C@H](O)C[C@@H]1C(=O)O,inactive,48730.0,Neuraminidase
CHEMBL1229,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,intermediate,1060.0,Neuraminidase
CHEMBL392199,COC(=O)[C@@H]1C[C@@H](N)CN1C(=O)[C@@H](N)CC(C)C,inactive,48010.0,Neuraminidase
CHEMBL414724,N[C@H]1C[C@@H](C(=O)NO)N(C(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)C1,intermediate,3570.0,Neuraminidase
CHEMBL393969,N[C@H]1C[C@@H](C(=O)O)N(C(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)C1,inactive,16230.0,Neuraminidase
CHEMBL233077,O=C(NO)[C@@H]1C[C@@H](O)CN1C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,intermediate,8540.0,Neuraminidase
CHEMBL393369,O=C(O)[C@@H]1C[C@@H](O)CN1C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,inactive,19810.0,Neuraminidase
CHEMBL232871,CSCC[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,intermediate,1560.0,Neuraminidase
CHEMBL393325,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,intermediate,2100.0,Neuraminidase
CHEMBL232469,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,intermediate,2710.0,Neuraminidase
CHEMBL232265,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,intermediate,2150.0,Neuraminidase
CHEMBL232058,C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,inactive,12620.0,Neuraminidase
CHEMBL232057,C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,inactive,15820.0,Neuraminidase
