molecule_chembl_id,canonical_smiles,bioactivity_threshold,standard_value,pref_name,PIC50
CHEMBL3220188,CCN(C(=O)N1C[C@H](N)[C@H](C(=O)O)[C@@H]1CNC(=O)C(F)(F)F)C(C)C,active,280.0,Neuraminidase,6.552841968657781
CHEMBL3330708,CC(C)C(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1N=[N+]=[N-].[Na+],active,500.0,Neuraminidase,6.301029995663981
CHEMBL4861754,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)NNCc2cccc(OC)c2)[C@H]1NC(C)=O,active,326.0,Neuraminidase,6.486782399932061
CHEMBL4871590,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)NNCc2ccc(OC)cc2)[C@H]1NC(C)=O,active,567.0,Neuraminidase,6.246416941107094
CHEMBL4797391,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(N)=O)[C@H]1NC(C)=O,active,254.0,Neuraminidase,6.5951662833800615
CHEMBL2029862,COc1c2c(cc3c(=O)c4ccccc4oc13)OCO2,active,100.0,Neuraminidase,7.0
CHEMBL2029863,COc1c(O)cc2c(=O)c3ccccc3oc2c1OC,active,100.0,Neuraminidase,7.0
CHEMBL2029864,COc1c(O)cc2oc3cc(O)ccc3c(=O)c2c1OC,active,100.0,Neuraminidase,7.0
CHEMBL2029865,COc1cc(O)c2oc3ccccc3c(=O)c2c1OC,active,100.0,Neuraminidase,7.0
CHEMBL2029867,COc1cccc2oc3ccc(O)cc3c(=O)c12,active,100.0,Neuraminidase,7.0
CHEMBL361025,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,active,13.41,Neuraminidase,7.872571222148401
CHEMBL2029866,O=c1c2cccc(O)c2oc2cc(O)c(O)c(O)c12,active,13.68,Neuraminidase,7.863913902615902
CHEMBL388525,O=c1c2ccccc2oc2cc(O)cc(O)c12,active,7.73,Neuraminidase,8.111820506081676
CHEMBL389166,O=c1c2cc(O)ccc2oc2cccc(O)c12,active,13.01,Neuraminidase,7.885722703438414
CHEMBL484030,COc1ccc(O)c2c(=O)c3cc(O)ccc3oc12,active,12.8,Neuraminidase,7.892790030352131
CHEMBL1956717,C=CC(=O)N[C@@H]1[C@@H](NCC(C)C)CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],active,14.6,Neuraminidase,7.835647144215563
CHEMBL1956716,C=CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],active,31.8,Neuraminidase,7.497572880015567
CHEMBL1956715,CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H](N)[C@H]1NC(C)=O.[K+],active,39.3,Neuraminidase,7.405607449624573
CHEMBL1179048,CCO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)[C@H](O)CO,active,73.33,Neuraminidase,7.134718315004389
CHEMBL1956713,CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H](N=[N+]=[N-])[C@H]1NC(C)=O.[K+],active,84.4,Neuraminidase,7.073657553374345
CHEMBL4876589,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)NNCc2ccccc2Cl)[C@H]1NC(C)=O,active,586.0,Neuraminidase,6.23210238398191
